FQDN,ASN,IP Address,FQDNS,Country_Code,Country_Name,Region_Code,Region_Name,City_Name,Latitude,Longitude,Metro_Code,Area_Code,Time_Zone,Continent_Code,Postal_Code,Isp_Name,Organization_Name,Domain,As_Number,Netspeed,User_Type,Accuracy_Radius,Country_Confidence,City_Confidence,Region_Confidence,Postal_Confidence
aoldaily.com,3595,50.116.42.33,US,[u'aoldaily.com'],United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"""AS3595 Global Net Access"," LLC""",Corporate,hosting,999,88,61,49,50
aolon1ine.com,26496,50.63.202.62,US,[u'11nux.com'],United States,AZ,Arizona,Scottsdale,33.6119,-111.8906,753,480,America/Phoenix,NA,85260,"""GoDaddy.com"," LLC""","""GoDaddy.com"," LLC""",secureserver.net,"""AS26496 GoDaddy.com"," LLC""",Corporate,hosting,534,99,20,60,10
applesoftupdate.com,26496,50.63.202.62,US,[u'11nux.com'],United States,AZ,Arizona,Scottsdale,33.6119,-111.8906,753,480,America/Phoenix,NA,85260,"""GoDaddy.com"," LLC""","""GoDaddy.com"," LLC""",secureserver.net,"""AS26496 GoDaddy.com"," LLC""",Corporate,hosting,534,99,20,60,10
attnpower.com,36351,75.126.166.204,US,[u'artcreation.cn'],United States,TX,Texas,Dallas,32.9299,-96.8353,623,972,America/Chicago,NA,75244,SoftLayer Technologies,Padhost,softlayer.com,AS36351 SoftLayer Technologies Inc.,Corporate,hosting,534,99,20,60,10
aunewsonline.com,3595,50.116.42.33,US,[u'aoldaily.com'],United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"""AS3595 Global Net Access"," LLC""",Corporate,hosting,999,88,61,49,50
bluecoate.com,46606,74.220.199.7,US,[u'bluecoate.com'],United States,UT,Utah,Provo,40.2181,-111.6133,770,801,America/Denver,NA,84606,Unified Layer,Unified Layer,fastdomain.com,AS46606 Unified Layer,Corporate,business,999,94,11,15,11
bpyoyo.com,21740,8.5.1.34,US,[u'1.proporzione.com'],United States,WA,Washington,Bellevue,47.6051,-122.1134,819,425,America/Los_Angeles,NA,98008,Level 3 Communications,"""eNom"," Incorporated""",,"""AS21740 eNom"," Incorporated""",Corporate,business,534,99,20,60,10
canadatvsite.com,3595,50.116.42.33,US,[u'aoldaily.com'],United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"""AS3595 Global Net Access"," LLC""",Corporate,hosting,999,88,61,49,50
canoedaily.com,3595,50.116.42.33,US,[u'aoldaily.com'],United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"""AS3595 Global Net Access"," LLC""",Corporate,hosting,999,88,61,49,50
cnndaily.com,3595,50.116.42.33,US,[u'aoldaily.com'],United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"""AS3595 Global Net Access"," LLC""",Corporate,hosting,999,88,61,49,50
cnndaily.net,3595,50.116.42.33,US,[u'aoldaily.com'],United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"""AS3595 Global Net Access"," LLC""",Corporate,hosting,999,88,61,49,50
